"id"	"text.id"	"subfile.id"	"spk.ref"	"speech.unit.count"	"word.count"
"538"	"S1B-062"	"1"	"Z"	180	323
"539"	"S1B-063"	"1"	"A"	159	1624
"540"	"S1B-063"	"1"	"B"	7	117
"541"	"S1B-063"	"1"	"Z"	190	228
"542"	"S1B-063"	"2"	"A"	44	416
"543"	"S1B-063"	"2"	"B"	7	68
"544"	"S1B-063"	"2"	"Z"	35	9
"545"	"S1B-063"	"3"	"?"	1	0
"546"	"S1B-063"	"3"	"A"	40	442
"547"	"S1B-063"	"3"	"Z"	64	191
"548"	"S1B-063"	"4"	"A"	53	546
"549"	"S1B-063"	"4"	"Z"	58	37
"550"	"S1B-064"	"1"	"A"	114	1679
"551"	"S1B-064"	"1"	"B"	2	9
"552"	"S1B-064"	"1"	"Z"	139	106
"553"	"S1B-064"	"2"	"A"	50	511
"554"	"S1B-064"	"2"	"B"	1	1
"555"	"S1B-064"	"2"	"Z"	68	83
"556"	"S1B-064"	"3"	"A"	35	418
"557"	"S1B-064"	"3"	"Z"	69	26
"558"	"S1B-065"	"1"	"A"	249	2392
"559"	"S1B-065"	"1"	"Z"	289	409
"560"	"S1B-066"	"1"	"A"	229	2968
"561"	"S1B-066"	"1"	"B"	5	70
"562"	"S1B-066"	"1"	"Z"	176	254
"563"	"S1B-067"	"1"	"A"	196	2530
"564"	"S1B-067"	"1"	"Z"	371	549
"565"	"S1B-068"	"1"	"A"	183	2921
"566"	"S1B-068"	"1"	"Z"	210	358
"567"	"S1B-069"	"1"	"A"	51	626
"568"	"S1B-069"	"1"	"B"	33	496
"569"	"S1B-069"	"1"	"Z"	69	50
"570"	"S1B-069"	"2"	"A"	18	144
"571"	"S1B-069"	"2"	"B"	65	899
"572"	"S1B-069"	"2"	"C"	15	173
"573"	"S1B-069"	"2"	"Z"	85	279
"574"	"S1B-070"	"1"	"A"	257	2401
"575"	"S1B-070"	"1"	"Z"	270	126
"576"	"S1B-071"	"1"	"A"	34	582
"577"	"S1B-071"	"1"	"B"	29	177
"578"	"S1B-071"	"1"	"C"	21	367
"579"	"S1B-071"	"1"	"D"	17	361
"580"	"S1B-071"	"1"	"E"	21	288
"581"	"S1B-071"	"1"	"F"	39	774
"582"	"S1B-071"	"1"	"G"	9	177
