"id"	"orig.id"	"file.speaker.id"	"text.id"	"subfile.id"	"spk.ref"	"your.id"	"text.category"	"recording.date"	"recording.place"	"organizing.body"	"first.name"	"last.name"	"gender"	"age"	"nationality"	"mother.tongue"	"occupation"	"educational.level"	"copyright.statement"	"speech.unit.count"	"word.count"
598	598	"<S1B-060#1:C>"	"S1B-060"	"1"	"C"	"nps"	"spoken:dialogue:public:parliamentary debates"	"02-09-1991"	"senate"	NA	"leticia"	"shahani"	"female"	"50+"	"filipino"	"pangasinan"	"senator"	"ll.b."	"reproduced by permission. all rights reserved."	36	835
599	599	"<S1B-060#1:D>"	"S1B-060"	"1"	"D"	"nps"	"spoken:dialogue:public:parliamentary debates"	"02-09-1991"	"senate"	NA	"sotero"	"laurel"	"male"	"50+"	"filipino"	"tagalog"	"senator"	"b.a."	"reproduced by permission. all rights reserved."	15	420
600	600	"<S1B-060#1:E>"	"S1B-060"	"1"	"E"	"nps"	"spoken:dialogue:public:parliamentary debates"	"02-09-1991"	"senate"	NA	"juan"	"ponce enrile"	"male"	"50+"	"filipino"	"ilocano"	"senator"	"ll.b."	"reproduced by permission. all rights reserved."	3	44
601	601	"<S1B-061#?>"	"S1B-061"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	27
602	602	"<S1B-061#1:A>"	"S1B-061"	"1"	"A"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"22-12-2000"	"senate hall"	NA	"hilario"	"davide jr."	"male"	"50+"	"filipino"	"cebuano"	"supreme court chief justice"	"ll.b."	"reproduced by permission. all rights reserved."	45	595
603	603	"<S1B-061#1:B>"	"S1B-061"	"1"	"B"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"22-12-2000"	"senate hall"	NA	"joker"	"arroyo"	"male"	"50+"	"filipino"	"tagalog"	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	12	114
604	604	"<S1B-061#1:C>"	"S1B-061"	"1"	"C"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"22-12-2000"	"senate hall"	NA	"jose"	"flaminiano"	"male"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	26	448
605	605	"<S1B-061#1:D>"	"S1B-061"	"1"	"D"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"22-12-2000"	"senate hall"	NA	"secretary of senate"	""	"male"	"41-45"	"filipino"	NA	"senate secretary"	"b.a."	"reproduced by permission. all rights reserved."	3	10
606	606	"<S1B-061#1:E>"	"S1B-061"	"1"	"E"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"22-12-2000"	"senate hall"	NA	"mario"	"bautista"	"male"	"46-50"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	47	564
607	607	"<S1B-061#1:F>"	"S1B-061"	"1"	"F"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"22-12-2000"	"senate hall"	NA	"clarissa"	"ocampo"	"female"	"41-45"	"filipino"	NA	"trust officer"	"b.a."	"reproduced by permission. all rights reserved."	18	312
608	608	"<S1B-062#?>"	"S1B-062"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4
609	609	"<S1B-062#1:A>"	"S1B-062"	"1"	"A"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"secretary of senate"	""	"male"	"46-50"	"filipino"	NA	"senate secretary"	"b.a."	"reproduced by permission. all rights reserved."	1	0
610	610	"<S1B-062#1:B>"	"S1B-062"	"1"	"B"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"hilario"	"davide jr."	"male"	"50+"	"filipino"	"cebuano"	"supreme court chief justice"	"ll.b."	"reproduced by permission. all rights reserved."	39	415
611	611	"<S1B-062#1:C>"	"S1B-062"	"1"	"C"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"oscar"	"moreno"	"male"	"41-45"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	64	1146
612	612	"<S1B-062#1:D>"	"S1B-062"	"1"	"D"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"jose"	"flaminiano"	"male"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	3	51
613	613	"<S1B-062#1:E>"	"S1B-062"	"1"	"E"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"annie"	"ngo"	"female"	"41-45"	"filipino"	NA	"bank officer"	"b.a."	"reproduced by permission. all rights reserved."	25	381
614	614	"<S1B-062#1:F>"	"S1B-062"	"1"	"F"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"aquilino"	"pimentel"	"male"	"50+"	"filipino"	"cebuano"	"senate president"	"ll.b."	"reproduced by permission. all rights reserved."	10	75
615	615	"<S1B-062#1:G>"	"S1B-062"	"1"	"G"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"cleofe"	"versola"	"female"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	8	130
616	616	"<S1B-062#1:H>"	"S1B-062"	"1"	"H"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"raul"	"daza"	"male"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	5	31
617	617	"<S1B-062#1:I>"	"S1B-062"	"1"	"I"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	25
618	618	"<S1B-063#?>"	"S1B-063"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	103
619	619	"<S1B-063#1:A>"	"S1B-063"	"1"	"A"	"mlb"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"hilario"	"davide jr."	"male"	"50+"	"filipino"	"cebuano"	"supreme court chief justice"	"ll.b."	"reproduced by permission. all rights reserved."	17	145
620	620	"<S1B-063#1:B>"	"S1B-063"	"1"	"B"	"mlb"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"jose luis"	"yulo"	"male"	NA	"filipino"	NA	""	"b.a."	"reproduced by permission. all rights reserved."	59	1310
621	621	"<S1B-063#1:C>"	"S1B-063"	"1"	"C"	"mlb"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"oscar"	"rodriguez"	"male"	NA	"filipino"	NA	""	"b.a."	"reproduced by permission. all rights reserved."	51	791
622	622	"<S1B-063#1:D>"	"S1B-063"	"1"	"D"	"mlb"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"jose"	"flaminiano"	"male"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	14	112
623	623	"<S1B-064#1:A>"	"S1B-064"	"1"	"A"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"hilario"	"davide jr."	"male"	"50+"	"filipino"	"cebuano"	"supreme court chief justice"	"ll.b."	"reproduced by permission. all rights reserved."	12	76
624	624	"<S1B-064#1:B>"	"S1B-064"	"1"	"B"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"raul"	"daza"	"male"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	47	966
625	625	"<S1B-064#1:C>"	"S1B-064"	"1"	"C"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"raul"	"gonzales"	"male"	"50+"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	9	104
626	626	"<S1B-064#1:D>"	"S1B-064"	"1"	"D"	"jdls"	"spoken:dialogue:public:legal cross-examination"	"12-2000/01-2001"	"senate hall"	NA	"perfecto"	"yasay"	"male"	"46-50"	"filipino"	NA	"lawyer"	"ll.b."	"reproduced by permission. all rights reserved."	35	882
627	627	"<S1B-065#?>"	"S1B-065"	"1"	"?"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3
